product_name,filename,link,type,appliedVariationProduct,applicableRegion,description
,,http://www.avidfit.net/download.php,['umLink'],"['RW70057-01', 'RW70056-01']","['TW', 'US', 'UK']",
,,,['umFile'],"['WLG', 'WLY', 'WLS']",[],
,,,['fcc'],[],['US'],
,,,['ce'],"['PB01C-S-1AB', 'PB01C-S-1AW']","['UK', 'DE', 'IT', 'ES', 'FR']",
,,,['bluetooth'],"['PB01C-S-1AB', 'PB01C-S-1AW']","['UK', 'US', 'DE']",
,,,['umFile'],"['PB01C-S-1AB', 'PB01C-S-1AW']","['UK', 'DE', 'US']",
,,,['productPackageDesign'],"['PB01C-S-1AB', 'PB01C-S-1AW']","['UK', 'DE', 'US']",外盒照片
,,https://drive.google.com/open?id=125OWCz5eAEs1Dh2qyerjMpiQjfdDWoCi,,"['MSE0402T', 'SE0602T', 'SE0802T', 'SE1002T', 'SE1202T', 'SE1602T']",[],ISO9001證書
,,,['complianceOther'],['K228-28'],"['US', 'UK']",
,,,['complianceOther'],['K228-28'],[],
,,,['complianceOther'],[''],['US'],
,,,['complianceOther'],"['S150104-1', 'S150104-2', 'S150104-3']",['CA'],
,,https://mega.nz/#!v9QWEArb!LD1q6ZlsmWyRqGIVPeHp8YF0N1pysU20HyTtFOwoNVw,['umLink'],"['S150104-1', 'S150104-2', 'S150104-3']","['CA', 'US']",
,,https://youtu.be/EwJtWhbS8JQ,['operationVideo'],"['S150104-1', 'S150104-2', 'S150104-3']","['CA', 'US']",
,,,['fda'],"['703-BK-XS', '703-BK-S', '703-BK-M', '703-BK-L', '703-BK-XL', '703-TAN-XS', '703-TAN-S', '703-TAN-M', '703-TAN-L', '703-TAN-XL']",[],
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
,,,['complianceOther'],['010'],[],Mimaki墨水認證資料
